Humanos Saudáveis,Humanos Infectados,Humanos Recuperados,Mosquitos Saudáveis,Mosquitos Infectados,Mortes Comuns,Mortes por Dengue,Total Pessoas,Total Mosquitos,dia,casos_ativos_reais,recuperados_reais,obitos_reais
613,2,0,5802,55,385,0,615,5857,0,200,0,0
613,2,0,5678,55,385,0,615,5733,1,200,0,0
613,2,0,5532,54,385,0,615,5586,2,200,0,0
613,2,0,5382,50,385,0,615,5432,3,200,0,0
613,2,0,5234,51,385,0,615,5285,4,200,0,0
613,2,0,5085,50,385,0,615,5135,5,200,0,0
998,2,0,5122,55,385,0,1000,5177,6,200,0,0
998,2,0,4949,53,385,0,1000,5002,7,200,0,0
998,1,1,4764,52,385,0,1000,4816,8,100,100,0
997,1,2,4569,49,385,0,1000,4618,9,100,200,0
997,1,2,4373,48,385,0,1000,4421,10,100,200,0
997,1,2,4167,46,385,0,1000,4213,11,100,200,0
997,1,2,3953,45,385,0,1000,3998,12,100,200,0
997,1,2,3859,47,385,0,1000,3906,13,100,200,0
996,2,2,3649,45,385,0,1000,3694,14,200,200,0
996,2,2,3429,41,385,0,1000,3470,15,200,200,0
996,2,2,3216,41,385,0,1000,3257,16,200,200,0
995,3,2,3010,39,385,0,1000,3049,17,300,200,0
993,5,2,2824,38,385,0,1000,2862,18,500,200,0
992,5,3,2623,34,385,0,1000,2657,19,500,300,0
992,5,3,2512,38,385,0,1000,2550,20,500,300,0
991,6,3,2318,35,385,0,1000,2353,21,600,300,0
991,6,3,2159,34,385,0,1000,2193,22,600,300,0
989,8,3,2025,33,385,0,1000,2058,23,800,300,0
989,7,4,1853,33,385,0,1000,1886,24,700,400,0
988,8,4,1718,33,385,0,1000,1751,25,800,400,0
987,9,4,1585,32,385,0,1000,1617,26,900,400,0
987,9,4,1502,32,385,0,1000,1534,27,900,400,0
986,10,4,1387,29,385,0,1000,1416,28,1000,400,0
984,11,5,1270,28,385,0,1000,1298,29,1100,500,0
984,10,6,1157,30,385,0,1000,1187,30,1000,600,0
983,11,6,1047,28,385,0,1000,1075,31,1100,600,0
983,11,6,934,26,385,0,1000,960,32,1100,600,0
983,9,8,848,25,385,0,1000,873,33,900,800,0
983,6,11,771,26,385,0,1000,797,34,600,1100,0
980,9,10,668,25,385,1,999,693,35,900,1000,100
980,8,11,586,24,385,1,999,610,36,800,1100,100
979,9,11,513,21,385,1,999,534,37,900,1100,100
979,9,11,452,19,385,1,999,471,38,900,1100,100
978,9,11,387,17,386,1,998,404,39,900,1100,100
977,10,11,332,14,386,1,998,346,40,1000,1100,100
978,11,11,305,13,386,1,1000,318,41,1100,1100,100
978,10,12,270,9,386,1,1000,279,42,1000,1200,100
978,8,14,233,9,386,1,1000,242,43,800,1400,100
978,8,14,207,10,386,1,1000,217,44,800,1400,100
977,8,14,198,10,387,1,999,208,45,800,1400,100
976,6,16,184,10,387,2,998,194,46,600,1600,200
